Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations count,Abstract,TL;DR
metabolomicsR: a streamlined workflow to analyze metabolomic data in R,https://scispace.com/papers/metabolomicsr-a-streamlined-workflow-to-analyze-metabolomic-3oy1vouo,2022,Journal Article,Bioinformatics advances,"Xikun Han
Liming Liang",10.1093/bioadv/vbac067,https://scispace.com/pdf/metabolomicsr-a-streamlined-workflow-to-analyze-metabolomic-3oy1vouo.pdf,Yes,,"Abstract Summary metabolomicsR is a streamlined, flexible and user-friendly R package to preprocess, analyze and visualize metabolomic data. metabolomicsR includes comprehensive functionalities for sample and metabolite quality control, outlier detection, missing value imputation, dimensional reduction, batch effect normalization, data integration, regression, metabolite annotation and visualization of data and results. In this application note, we demonstrate the step-by-step use of the main functions from this package. Availability and implementation The metabolomicsR package is available via CRAN and GitHub (https://github.com/XikunHan/metabolomicsR/). A step-by-step online tutorial is available at https://xikunhan.github.io/metabolomicsR/docs/articles/Introduction.html. Supplementary information Supplementary data are available at Bioinformatics Advances online.","A streamlined, flexible and user-friendly R package to preprocess, analyze and visualize metabolomic data that includes comprehensive functionalities for sample and metabolite quality control, outlier detection, missing value imputation, dimensional reduction, batch effect normalization, data integration, regression, metabolite annotation and visualization of data and results."
MetaboAnalystR 4.0: a unified LC-MS workflow for global metabolomics,https://scispace.com/papers/metaboanalystr-4-0-a-unified-lc-ms-workflow-for-global-1xz5bylpbn,2024,Journal Article,Nature Communications,"Zhiqiang Pang
Lina Xu
Charles Viau
Yao Lü
Reza Salavati
Niladri Basu
Jianguo Xia",10.1038/s41467-024-48009-6,https://scispace.compdf/metaboanalystr-4-0-a-unified-lc-ms-workflow-for-global-1xz5bylpbn.pdf,No,,"The wide applications of liquid chromatography - mass spectrometry (LC-MS) in untargeted metabolomics demand an easy-to-use, comprehensive computational workflow to support efficient and reproducible data analysis. However, current tools were primarily developed to perform specific tasks in LC-MS based metabolomics data analysis. Here we introduce MetaboAnalystR 4.0 as a streamlined pipeline covering raw spectra processing, compound identification, statistical analysis, and functional interpretation. The key features of MetaboAnalystR 4.0 includes an auto-optimized feature detection and quantification algorithm for LC-MS1 spectra processing, efficient MS2 spectra deconvolution and compound identification for data-dependent or data-independent acquisition, and more accurate functional interpretation through integrated spectral annotation. Comprehensive validation studies using LC-MS1 and MS2 spectra obtained from standards mixtures, dilution series and clinical metabolomics samples have shown its excellent performance across a wide range of common tasks such as peak picking, spectral deconvolution, and compound identification with good computing efficiency. Together with its existing statistical analysis utilities, MetaboAnalystR 4.0 represents a significant step toward a unified, end-to-end workflow for LC-MS based global metabolomics in the open-source R environment.","MetaboAnalystR 4.0 is a comprehensive R package for global metabolomics data analysis, encompassing raw spectra processing, compound identification, statistical analysis, and functional interpretation."
MetaboAnalystR 3.0: Toward an Optimized Workflow for Global Metabolomics.,https://scispace.com/papers/metaboanalystr-3-0-toward-an-optimized-workflow-for-global-2d4fcwcuun,2020,Journal Article,Metabolites,"Zhiqiang Pang
Jasmine Chong
Shuzhao Li
Jianguo Xia",10.3390/METABO10050186,https://scispace.com/pdf/metaboanalystr-3-0-toward-an-optimized-workflow-for-global-2d4fcwcuun.pdf,Yes,460,"Liquid chromatography coupled to high-resolution mass spectrometry platforms are increasingly employed to comprehensively measure metabolome changes in systems biology and complex diseases. Over the past decade, several powerful computational pipelines have been developed for spectral processing, annotation, and analysis. However, significant obstacles remain with regard to parameter settings, computational efficiencies, batch effects, and functional interpretations. Here, we introduce MetaboAnalystR 3.0, a significantly improved pipeline with three key new features: (1) efficient parameter optimization for peak picking; (2) automated batch effect correction; and 3) more accurate pathway activity prediction. Our benchmark studies showed that this workflow was 20~100X faster compared to other well-established workflows and produced more biologically meaningful results. In summary, MetaboAnalystR 3.0 offers an efficient pipeline to support high-throughput global metabolomics in the open-source R environment.","This work introduces MetaboAnalystR 3.0, a significantly improved pipeline with three key new features: efficient parameter optimization for peak picking; automated batch effect correction; and more accurate pathway activity prediction that offers an efficient pipeline to support high-throughput global metabolomics in the open-source R environment."
"MetaboAnalyst 6.0: towards a unified platform for metabolomics data processing, analysis and interpretation.",https://scispace.com/papers/metaboanalyst-6-0-towards-a-unified-platform-for-1q3rebhpge,2024,Journal Article,Nucleic Acids Research,"Zhiqiang Pang
Fiona Hui
Charles Viau
Aliya F. Spigelman
Patrick E MacDonald
David S Wishart",10.1093/nar/gkae253,,No,134,"We introduce MetaboAnalyst version 6.0 as a unified platform for processing, analyzing, and interpreting data from targeted as well as untargeted metabolomics studies using liquid chromatography - mass spectrometry (LC-MS). The two main objectives in developing version 6.0 are to support tandem MS (MS2) data processing and annotation, as well as to support the analysis of data from exposomics studies and related experiments. Key features of MetaboAnalyst 6.0 include: (i) a significantly enhanced Spectra Processing module with support for MS2 data and the asari algorithm; (ii) a MS2 Peak Annotation module based on comprehensive MS2 reference databases with fragment-level annotation; (iii) a new Statistical Analysis module dedicated for handling complex study design with multiple factors or phenotypic descriptors; (iv) a Causal Analysis module for estimating metabolite - phenotype causal relations based on two-sample Mendelian randomization, and (v) a Dose-Response Analysis module for benchmark dose calculations. In addition, we have also improved MetaboAnalyst's visualization functions, updated its compound database and metabolite sets, and significantly expanded its pathway analysis support to around 130 species. MetaboAnalyst 6.0 is freely available at https://www.metaboanalyst.ca.","MetaboAnalyst 6.0 is a unified platform for metabolomics data processing, analysis and interpretation that supports targeted and untargeted studies. Key features include enhanced Spectra Processing, MS2 Peak Annotation, Statistical Analysis, Causal Analysis and Dose-Response Analysis modules."
Weighted scaling approach for metabolomics data analysis,https://scispace.com/papers/weighted-scaling-approach-for-metabolomics-data-analysis-1aqltytf,2023,Journal Article,Japanese Journal of Statistics and Data Science,"Md. Ashad Alam
Lynne Kelly",10.1007/s42081-023-00205-2,https://scispace.com/pdf/weighted-scaling-approach-for-metabolomics-data-analysis-1aqltytf.pdf,Yes,,"Systematic variation is a common issue in metabolomics data analysis. Therefore, different scaling and normalization techniques are used to preprocess the data for metabolomics data analysis. Although several scaling methods are available in the literature, however, choice of scaling, transformation and/or normalization technique influences the further statistical analysis. It is challenged to choose the appropriate scaling technique for downstream analysis to get accurate results or to make proper decision. Moreover, the existing scaling techniques are sensitive to outliers or extreme values. To fill the gap, our objective is to introduce a robust scaling approach that is not influenced by outliers as well as provides more accurate results for downstream analysis. Here, we introduced a new weighted scaling approach that is robust against outliers; however, no additional outlier detection/treatment step is needed in data preprocessing and also compared it with the conventional scaling and normalization techniques through artificial and real metabolomics datasets. We evaluated the performance of the proposed method in comparison to the other existing conventional scaling techniques using metabolomics data analysis in both the absence and presence of different percentages of outliers. Results show that in most cases, the proposed scaling technique is a better performer than the traditional scaling methods in both the absence and presence of outliers. The proposed method improves the further downstream metabolomics analysis. The R function of the proposed robust scaling method is available at https://github.com/nishithkumarpaul/robustScaling/blob/main/wscaling.R","In this paper , the authors proposed a robust scaling approach that is robust against outliers, however, no additional outlier detection/treatment step is needed in data preprocessing and also compared it with the conventional scaling and normalization techniques through artificial and real metabolomics datasets."
Normalization methods for reducing interbatch effect without quality control samples in liquid chromatography-mass spectrometry-based studies,https://scispace.com/papers/normalization-methods-for-reducing-interbatch-effect-without-3z2g48daad,2021,Journal Article,Analytical and Bioanalytical Chemistry,"Alisa O. Tokareva
Alisa O. Tokareva
Vitaliy Chagovets
Alexey S. Kononikhin
Natalia L. Starodubtseva
Eugene N. Nikolaev
Vladimir Frankevich",10.1007/S00216-021-03294-8,,No,,"Data normalization is an essential part of a large-scale untargeted mass spectrometry metabolomics analysis. Autoscaling, Pareto scaling, range scaling, and level scaling methods for liquid chromatography-mass spectrometry data processing were compared with the most common normalization methods, including quantile normalization, probabilistic quotient normalization, and variance stabilizing normalization. These methods were tested on eight datasets from various clinical studies. The efficiency of the data normalization was assessed by the distance between clusters corresponding to batches and the distance between clusters corresponding to clinical groups in the space of principal components, as well as by the number of features with a pairwise statistically significant difference between the batches and the number of features with a pairwise statistically significant difference between clinical groups. Autoscaling demonstrated the most effective reduction in interbatch variation and can be preferable to probabilistic quotient or quantile normalization in liquid chromatography-mass spectrometry data.","In this article, the authors compared different data normalization methods, including quantile normalization, probabilistic quotient normalization and variance stabilizing normalization on eight datasets from various clinical studies."
MetaboAnalyst 5.0: narrowing the gap between raw spectra and functional insights.,https://scispace.com/papers/metaboanalyst-5-0-narrowing-the-gap-between-raw-spectra-and-uhscoef1c4,2021,Journal Article,Nucleic Acids Research,"Zhiqiang Pang
Jasmine Chong
Guangyan Zhou
David Anderson de Lima Morais
Le Chang
Michel Barrette
Carol Gauthier
Pierre-Étienne Jacques
Shuzhao Li
Jianguo Xia",10.1093/NAR/GKAB382,https://scispace.com/pdf/metaboanalyst-5-0-narrowing-the-gap-between-raw-spectra-and-uhscoef1c4.pdf,Yes,2938,"Since its first release over a decade ago, the MetaboAnalyst web-based platform has become widely used for comprehensive metabolomics data analysis and interpretation. Here we introduce MetaboAnalyst version 5.0, aiming to narrow the gap from raw data to functional insights for global metabolomics based on high-resolution mass spectrometry (HRMS). Three modules have been developed to help achieve this goal, including: (i) a LC-MS Spectra Processing module which offers an easy-to-use pipeline that can perform automated parameter optimization and resumable analysis to significantly lower the barriers to LC-MS1 spectra processing; (ii) a Functional Analysis module which expands the previous MS Peaks to Pathways module to allow users to intuitively select any peak groups of interest and evaluate their enrichment of potential functions as defined by metabolic pathways and metabolite sets; (iii) a Functional Meta-Analysis module to combine multiple global metabolomics datasets obtained under complementary conditions or from similar studies to arrive at comprehensive functional insights. There are many other new functions including weighted joint-pathway analysis, data-driven network analysis, batch effect correction, merging technical replicates, improved compound name matching, etc. The web interface, graphics and underlying codebase have also been refactored to improve performance and user experience. At the end of an analysis session, users can now easily switch to other compatible modules for a more streamlined data analysis. MetaboAnalyst 5.0 is freely available at https://www.metaboanalyst.ca.","The MetaboAnalyst 5.0 as mentioned in this paper is the latest version of the web-based platform for comprehensive metabolomics data analysis and interpretation, aiming to narrow the gap from raw data to functional insights for global metabolomics based on HRMS."
"Data normalization strategies in metabolomics: Current challenges, approaches, and tools:",https://scispace.com/papers/data-normalization-strategies-in-metabolomics-current-fnez2lddfz,2020,Journal Article,European Journal of Mass Spectrometry,Biswapriya B. Misra,10.1177/1469066720918446,,No,77,"Data normalization is a big challenge in quantitative metabolomics approaches, whether targeted or untargeted. Without proper normalization, the mass-spectrometry and spectroscopy data can provide erroneous, sub-optimal data, which can lead to misleading and confusing biological results and thereby result in failed application to human healthcare, clinical, and other research avenues. To address this issue, a number of statistical approaches and software tools have been proposed in the literature and implemented over the years, thereby providing a multitude of approaches to choose from - either sample-based or data-based normalization strategies. In recent years, new dedicated software tools for metabolomics data normalization have surfaced as well. In this account article, I summarize the existing approaches and the new discoveries and research findings in this area of metabolomics data normalization, and I introduce some recent tools that aid in data normalization.","The existing approaches and the new discoveries and research findings in this area of metabolomics data normalization are summarized, and some recent tools that aid in datanormalization are introduced."
Pretreating and normalizing metabolomics data for statistical analysis,https://scispace.com/papers/pretreating-and-normalizing-metabolomics-data-for-5m65h3dj,2023,Journal Article,Genes and Diseases,"Jun Sun
Yinglin Xia",10.1016/j.gendis.2023.04.018,,Yes,24,"Metabolomics, as a research field and a set of techniques, is to study the entire small molecules in biological samples. Metabolomics is emerging as a powerful tool generally for precision medicine. Particularly, the integration of microbiome and metabolome has revealed the mechanism and functionality of microbiome in human health and disease. However, metabolomics data are very complicated. Preprocessing/pretreating and normalizing procedures on metabolomics data are usually required before statistical analysis. In this review article, we comprehensively review various methods that are used to preprocess and pretreat metabolomics data, including mass spectrometry-based and nuclear magnetic resonance-based data preprocessing, dealing with zero and/or missing values and detecting outliers, data normalization, data centering and scaling, data transformation. We discuss the advantages and limitations of each method. The choice of a suitable preprocessing method is determined by the biological hypothesis, the characteristics of the data set, and the selected statistical data analysis method. We then provide the perspective of their applications in microbiome and metabolome research.","In this article , the authors comprehensively review various methods that are used to preprocess and pretreat metabolomics data, including mass spectrometry-based and nuclear magnetic resonance-based data preprocessing, dealing with zero and/or missing values and detecting outliers, data normalization, data centering and scaling, data transformation."
OUP accepted manuscript,https://scispace.com/papers/oup-accepted-manuscript-3ux1pet5,2022,Journal Article,Bioinformatics,,10.1093/bioinformatics/btac059,https://scispace.com/pdf/oup-accepted-manuscript-3ux1pet5.pdf,Yes,,"Abstract Motivation Metabolomics is an increasingly common part of health research and there is need for preanalytical data processing. Researchers typically need to characterize the data and to exclude errors within the context of the intended analysis. Whilst some preprocessing steps are common, there is currently a lack of standardization and reporting transparency for these procedures. Results Here, we introduce metaboprep, a standardized data processing workflow to extract and characterize high quality metabolomics datasets. The package extracts data from preformed worksheets, provides summary statistics and enables the user to select samples and metabolites for their analysis based on a set of quality metrics. A report summarizing quality metrics and the influence of available batch variables on the data are generated for the purpose of open disclosure. Where possible, we provide users flexibility in defining their own selection thresholds. Availability and implementation metaboprep is an open-source R package available at https://github.com/MRCIEU/metaboprep. Supplementary information Supplementary data are available at Bioinformatics online.","Metaboprep as discussed by the authors is a R package that extracts data from preformed worksheets, provides summary statistics and enables the user to select samples and metabolites for their analysis based on a set of quality metrics."
MargheRita: an R package for LC-MS/MS SWATH metabolomics data analysis and confident metabolite identification based on a spectral library of reference standards,https://scispace.com/papers/margherita-an-r-package-for-lc-ms-ms-swath-metabolomics-data-hm7tvzg3k4,2024,Preprint,,"Ettore Mosca
Marynka Ulaszewska
Zahrasadat Alavikakhki
Edoardo Bellini
Valeria Mannella
G. Frigerio
Denise Drago
Annapaola Andolfo",10.1101/2024.06.20.599545,https://scispace.compdf/margherita-an-r-package-for-lc-ms-ms-swath-metabolomics-data-hm7tvzg3k4.pdf,No,,"Untargeted metabolomics by mass spectrometry technologies generates huge numbers of metabolite signals, requiring computational analyses for post-acquisition processing and databases for metabolite identification. Web-based data processing solutions frequently include only a part of the entire workflow thus requiring the use of different platforms. The R package ""margheRita"" enhances fragment matching accuracy and addresses the complete workflow for metabolomic profiling in untargeted studies based on liquid chromatography (LC) coupled with tandem mass spectrometry (MS/MS), especially in the case of data-independent acquisition, where all MS/MS spectra are acquired with high quantitative accuracy. Availability and Implementation: source code and documentation are available at https://github.com/emosca-cnr/margheRita.","MargheRita is an R package for comprehensive metabolomic profiling based on LC-MS/MS SWATH data analysis, improving fragment matching accuracy and addressing the complete workflow."
Visualization and normalization of drift effect across batches in metabolome-wide association studies,https://scispace.com/papers/visualization-and-normalization-of-drift-effect-across-3k766alj41,2020,Posted Content,bioRxiv,"Nasim Bararpour
Federica Gilardi
Cristian Carmeli
Cristian Carmeli
Jonathan Sidibé
Julijana Ivanisevic
Tiziana Caputo
Marc Augsburger
Silke Grabherr
Béatrice Desvergne
Nicolas Guex
Murielle Bochud
Aurélien Thomas",10.1101/2020.01.22.914051,https://scispace.com/pdf/visualization-and-normalization-of-drift-effect-across-3k766alj41.pdf,Yes,,"As a powerful phenotyping technology, metabolomics has provided new opportunities in biomarker discovery through metabolome-wide association studies (MWAS) and identification of metabolites having regulatory effect in various biological processes. While MAS-based metabolomics assays are endowed with high-throughput and sensitivity, large-scale MWAS are doomed to long-term data acquisition generating an overtime-analytical signal drift, inherent to liquid chromatography-MS technique that can hinder the uncovering of true biologically relevant changes. We developed “dbnorm”, a package in R environment, which allows visualization and removal of signal heterogeneity from large metabolomics datasets. “dbnorm” integrates advanced statistical tools to inspect dataset structure, at both macroscopic (sample batch) and microscopic (metabolic features) scales. To compare model performance on data correction, “dbnorm” assigns a score, which allows the straightforward identification of the best fitting model for each dataset. Herein, we show how “dbnorm” efficiently removes signal drift among batches to capture the true biological heterogeneity of data in two large-scale metabolomics studies.","“dbnorm”, a package in R environment, which allows visualization and removal of signal heterogeneity from large metabolomics datasets, is developed, which efficiently removes signal drift among batches to capture the true biological heterogeneity of data in two large-scale metabolomics studies."
