"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Abstract","TL;DR"
"High-dimensional Statistics Applications to Batch Effects in
  Metabolomics","https://scispace.com/papers/high-dimensional-statistics-applications-to-batch-effects-in-26zrdg4b47i1","2024","Journal Article","","Zhendong Guo","10.48550/arxiv.2412.10196","https://scispace.compdf/high-dimensional-statistics-applications-to-batch-effects-in-26zrdg4b47i1.pdf","No","","Batch effects are inevitable in large-scale metabolomics. Prior to formal data analysis, batch effect correction (BEC) is applied to prevent from obscuring biological variations, and batch effect evaluation (BEE) is used for correction assessment. However, existing BEE algorithms neglect covariances between the variables, and existing BEC algorithms might fail to adequately correct the covariances. Therefore, we resort to recent advancements in high-dimensional statistics, and respectively propose ""quality control-based simultaneous tests (QC-ST)"" and ""covariance correction (CoCo)"". Validated by the simulation data, QC-ST can simultaneously detect the statistical significance of QC samples' mean vectors and covariance matrices across different batches, and has a satisfactory statistical performance in empirical sizes, empirical powers, and computational speed. Then, we apply four QC-based BEC algorithms to two large cohort datasets, and find that extreme gradient boost (XGBoost) performs best in relative standard deviation (RSD) and dispersion-ratio (D-ratio). After prepositive BEC, if QC-ST still suggests that batch effects between some two batches are significant, CoCo should be implemented. And after CoCo (if necessary), the four metrics (i.e., RSD, D-ratio, classification performance, and QC-ST) might be further improved. In summary, under the guidance of QC-ST, we can develop a matching strategy to integrate multiple BEC algorithms more rationally and flexibly, and minimize batch effects for reliable biological conclusions.","This study proposes high-dimensional statistics-based methods, QC-ST and CoCo, to address batch effects in metabolomics, improving batch effect correction and evaluation by considering covariances between variables, and enhancing statistical performance and reliability of biological conclusions."
"Garantia de qualidade em metabolômica não-alvo","https://scispace.com/papers/garantia-de-qualidade-em-metabolomica-nao-alvo-58lkmbxm2wki","2025","Journal Article","Química Nova","Anderson Teixeira
João Welberthon Matos Queiroz
Bruno Carius Garrido
Antônio Jorge Ribeiro da Silva
Anelize Bauermeister
Ricardo Moreira Borges","10.21577/0100-4042.20250048","","No","","QUALITY ASSURANCE IN UNTARGETED METABOLOMICS. Over the last two decades, metabolomics has emerged as a pivotal tool in multidisciplinary research, providing invaluable insights into metabolome modulations and finding applications across various scientific domains, including medicine and agronomy. Nonetheless, the absence of standardized procedures in sample preparation, data acquisition, and documentation of data quality presents a significant challenge. This review underscores the critical importance of quality assurance and quality control (QA/QC) in untargeted metabolomics, advocating for the establishment of agreed-upon QA/QC reporting standards within the scientific community. We discuss the requisite quality controls at various stages of untargeted metabolomics studies, encompassing blank samples, pooled samples, and the utilization of external quality control samples. Methods for assessing accuracy, reproducibility, and identifying/correcting batch effects are addressed. Furthermore, emphasis is placed on standardizing the description of QA/QC data in scientific publications and repositories to foster reproducibility and transparency. We recommend the publication of QC data alongside studies in appropriate databases to facilitate data comparison and sharing among researchers, thereby enhancing the quality of untargeted metabolomics research. In summary, implementing standardized QA/QC data reporting, along with promoting best practices within the untargeted metabolomics community, is crucial for improving result quality and credibility and advancing research utilizing this powerful technique.","This review emphasizes the importance of quality assurance and control in untargeted metabolomics, advocating for standardized procedures and reporting standards to ensure accuracy, reproducibility, and transparency in metabolomics research and data sharing."
"Correcting batch effects in large-scale multiomic studies using a reference-material-based ratio method","https://scispace.com/papers/correcting-batch-effects-in-large-scale-multiomic-studies-fxcx50oa","2022","Posted Content","bioRxiv","Ying Yu
Naixin Zhang
Yuanbang Mai
Qiaochu Chen
Zehui Cao
Qingwang Chen
Yaqing Liu
Luyao Ren
Wanwan Hou
Jingcheng Yang
Huixiao Hong
Joshua Xu
Weida Tong
Leming Shi
Yuanting Zheng","10.1101/2022.10.19.507549","https://scispace.com/pdf/correcting-batch-effects-in-large-scale-multiomic-studies-fxcx50oa.pdf","Yes","","Batch effects are notorious technical variations that are common in multiomic data and may result in misleading outcomes. With the era of big data, tackling batch effects in multiomic integration is urgently needed. As part of the Quartet Project for quality control and data integration of multiomic profiling, we comprehensively assess the performances of seven batch-effect correction algorithms (BECAs) for mitigating the negative impact of batch effects in multiomic datasets, including transcriptomics, proteomics, and metabolomics. Performances are evaluated based on accuracy of identifying differentially expressed features, robustness of predictive models, and the ability of accurately clustering cross-batch samples into their biological sample groups. Ratio-based method is more effective and widely applicable than others, especially in cases when batch effects are highly confounded with biological factors of interests. We further provide practical guidelines for the implementation of ratio-based method using universal reference materials profiled with study samples. Our findings show the promise for eliminating batch effects and enhancing data integration in increasingly large-scale, cross-batch multiomic studies.","In this article , the authors comprehensively assess the performance of seven batch effect correction algorithms (BECAs) for mitigating the negative impact of batch effects in multomic datasets, including transcriptomics, proteomics, and metabolomics."
"Evaluating and minimizing batch effects in metabolomics.","https://scispace.com/papers/evaluating-and-minimizing-batch-effects-in-metabolomics-51ppw3tzoa","2020","Journal Article","Mass Spectrometry Reviews","Wei Han
Liang Li","10.1002/MAS.21672","","No","62","Determining metabolomic differences among samples of different phenotypes is a critical component of metabolomics research. With the rapid advances in analytical tools such as ultrahigh-resolution chromatography and mass spectrometry, an increasing number of metabolites can now be profiled with high quantification accuracy. The increased detectability and accuracy raise the level of stringiness required to reduce or control any experimental artifacts that can interfere with the measurement of phenotype-related metabolome changes. One of the artifacts is the batch effect that can be caused by multiple sources. In this review, we discuss the origins of batch effects, approaches to detect interbatch variations, and methods to correct unwanted data variability due to batch effects. We recognize that minimizing batch effects is currently an active research area, yet a very challenging task from both experimental and data processing perspectives. Thus, we try to be critical in describing the performance of a reported method with the hope of stimulating further studies for improving existing methods or developing new methods.","In this review, the origins of batch effects, approaches to detect interbatch variations, and methods to correct unwanted data variability due to batch effects are discussed."
"Addressing the batch effect issue for LC/MS metabolomics data in data preprocessing.","https://scispace.com/papers/addressing-the-batch-effect-issue-for-lc-ms-metabolomics-2zrz79p21i","2020","Journal Article","Scientific Reports","Qin Liu
Douglas I. Walker
Karan Uppal
Zihe Liu
Chunyu Ma
ViLinh Tran
Shuzhao Li
Dean P. Jones
Tianwei Yu","10.1038/S41598-020-70850-0","https://scispace.com/pdf/addressing-the-batch-effect-issue-for-lc-ms-metabolomics-2zrz79p21i.pdf","Yes","47","With the growth of metabolomics research, more and more studies are conducted on large numbers of samples. Due to technical limitations of the Liquid Chromatography-Mass Spectrometry (LC/MS) platform, samples often need to be processed in multiple batches. Across different batches, we often observe differences in data characteristics. In this work, we specifically focus on data generated in multiple batches on the same LC/MS machinery. Traditional preprocessing methods treat all samples as a single group. Such practice can result in errors in the alignment of peaks, which cannot be corrected by post hoc application of batch effect correction methods. In this work, we developed a new approach that address the batch effect issue in the preprocessing stage, resulting in better peak detection, alignment and quantification. It can be combined with down-stream batch effect correction methods to further correct for between-batch intensity differences. The method is implemented in the existing workflow of the apLCMS platform. Analyzing data with multiple batches, both generated from standardized quality control (QC) plasma samples and from real biological studies, the new method resulted in feature tables with better consistency, as well as better down-stream analysis results. The method can be a useful addition to the tools available for large studies involving multiple batches. The method is available as part of the apLCMS package. Download link and instructions are at https://mypage.cuhk.edu.cn/academics/yutianwei/apLCMS/ .","A new approach is developed that address the batch effect issue in the preprocessing stage, resulting in better peak detection, alignment and quantification, and can be combined with down-stream batch effect correction methods to further correct for between-batch intensity differences."
"Correcting batch effects in large-scale multiomics studies using a reference-material-based ratio method","https://scispace.com/papers/correcting-batch-effects-in-large-scale-multiomics-studies-3hcwkemp3r","2023","Dataset","","Ying Yu","10.6084/m9.figshare.22188349","","No","","As part of the Quartet Project for quality control and data integration of multiomics profiling, we comprehensively assessed the performance of seven batch-effect correction algorithms (BECAs) based on different performance metrics of clinical relevance. Fifteen batches of transcriptomics, proteomics, and metabolomics data from different platforms, labs and with different data quality were employed and referred as full datasets in this study. In the full datasets, each batch comprised 12 libraries, consisting of 12 tubes with each representing one of the triplicates of a donor (D5, D6, F7 and M8). Therefore, 180 libraries (12 libraries per batch x 15 batches) were included in full datasets at each omics level. We then employed a subset of datasets from the full datasets to create balanced and confounded scenarios for assessing the pros and cons of the BECAs. Here, we arbitrarily selected D6 as the common reference material, leaving the rest three as the study groups (D5, F7, and M8). In the balanced experiment scenario, one replicate was selected for each study group from each of 15 batches. This was done independently for each omics type. In the confounded experiment scenario, 5 batches were randomly assigned to each study group (D5, F7, or M8) for each omics type to extract all three replicates for the assigned study group. For both scenarios, all three replicates for the selected reference sample (D6) in each batch were retained for reference-sample-based BECAs. Therefore, 45 study samples and 45 reference samples in balanced and confounded scenarios were employed at each omics level. The experimental design ensured the consistent number of libraries included in the balanced and confounded scenarios, as well as the separation of study samples from the reference samples for objective evaluation of the impact of BECAs. Data analysis methods used in the study were as follows. (1) For transcriptomics, RNAseq reads were aligned using HISAT2 and genes were quantified using StringTie followed by Ballgown. The normalized data in Fragments Per Kilobase of transcript per Million mapped reads (FPKM) were obtained. A floor value of 0.01 was added to the FPKM value of each gene, and log2 transformation was then conducted. (2) For proteomics, MS raw files were searched against the human Refseq protein database using Firmiana 1.0 enabled with Mascot 2.3 (Matrix Science Inc) . False discovery rate (FDR) by using a target-decoy strategy was set to 1% for both proteins and peptides. Proteins were then quantified using the label-free iBAQ approach. The fraction-of-total (FOT) was used to represent the normalized abundance of a particular protein, which was defined as a protein’s iBAQ value divided by the total iBAQ of all identiﬁed proteins within one sample. A floor value of 0.01 was then added to the value of each protein, and log2 transformation was conducted. (3) For metabolomics, raw data were extracted, peak-identified and QC processed using the in-house methods in each lab. Compound identification was conducted using in-house library based on the retention time/index (RI), mass to charge ratio (m/z), and MS spectral data for each metabolite. Metabolite quantification was conducted using area-under-the-curve or the concentration calculated by calibration curve using standards of each metabolite. A floor value of 1 was then added to the value of each metabolite, and log2 transformation was conducted.","The study comprehensively assessed the performance of seven batch-effect correction algorithms (BECAs) based on clinical-relevance metrics using full datasets comprising 180 libraries (12 libraries per batch) from 15 batches of transcriptomics, proteomics, and metabolomics data."
"Evaluation and correction of injection order effects in LC-MS/MS based targeted metabolomics.","https://scispace.com/papers/evaluation-and-correction-of-injection-order-effects-in-lc-2lm0km8m","2022","Journal Article","Social Science Research Network","Yang Yue
Xun Bao
Jun Jiang
Jing Li","10.2139/ssrn.4191057","","No","","For large-scale and long-term metabolomics studies that involve a large batch or multiple batches of analyses, batch effects cause nonbiological systematic biases that may lead to false positive or false negative findings. Quantitative monitoring and correction of batch effects is critical to the development of reproducible and robust metabolomics platforms either for untargeted or targeted analyses. To achieve sufficient retention and separation of a broad range of metabolites with diverse chemical structures and physicochemical properties, LC-MS/MS based targeted metabolomics often involves 3 complemented chromatographic separation methods, including reversed-phase liquid chromatography (RP-LC), hydrophilic interaction liquid chromatography (HILIC), and ion-pair liquid chromatography (IP-LC). The purpose of this study is to quantitatively evaluate intra-batch variations or injection order effects of the RP-LC, HILIC, and IP-LC methods for targeted metabolomics analyses, and develop strategies to minimize intra-batch variations and correct injection order effects for problematic metabolites. Both RP-LC and HILIC methods exhibit robust intra-batch reproducibility in 0.2 µM standard mix QC, with ∼96 % of the measured metabolites showing acceptable intra-batch variations (<20 %); whereas, the intra-batch reproducibility for some metabolites in cell matrix QC may be compromised due to stability issue, suboptimal chromatographic retention, and/or matrix effects causing ionization suppression and/or retention instability. The IP-LC method exhibits significant injection order effects, which could be effectively corrected by the developed exponential models of signal drift trends as a function of injection order for individual targeted metabolites.","The purpose of this study is to quantitatively evaluate intra-batch variations or injection order effects of the RP-LC, HILIC, and IP-LC methods for targeted metabolomics analyses, and develop strategies to minimize intra- batch variations and correctjection order effects for problematic metabolites."
"Assessing and mitigating batch effects in large-scale omics studies","https://scispace.com/papers/assessing-and-mitigating-batch-effects-in-large-scale-omics-2l4ixmfixhh3","2024","Journal Article","Genome Biology","Ying Yu
Wei Ma
Yuanting Zheng
Leming Shi","10.1186/s13059-024-03401-9","","No","","Batch effects in omics data are notoriously common technical variations unrelated to study objectives, and may result in misleading outcomes if uncorrected, or hinder biomedical discovery if over-corrected. Assessing and mitigating batch effects is crucial for ensuring the reliability and reproducibility of omics data and minimizing the impact of technical variations on biological interpretation. In this review, we highlight the profound negative impact of batch effects and the urgent need to address this challenging problem in large-scale omics studies. We summarize potential sources of batch effects, current progress in evaluating and correcting them, and consortium efforts aiming to tackle them.","Batch effects in omics data can lead to misleading outcomes if uncorrected or hinder discovery if over-corrected, necessitating assessment and mitigation to ensure reliability and reproducibility of large-scale omics studies and minimize technical variation impact."
"Correcting batch effects in large-scale multiomics studies using a reference-material-based ratio method","https://scispace.com/papers/correcting-batch-effects-in-large-scale-multiomics-studies-1adpp2nhq9","2023","Journal Article","Genome Biology","Ying Yu
Naixin Zhang
Yuanbang Mai
Luyao Ren
Qiaochu Chen
Zehui Cao
Yaqing Liu
Wanwan Hou
Jingcheng Yang
Huixiao Hong
Joshua Xu
Weida Tong
Lianhua Dong
Leming Shi
Xiang Fang
Yuanting Zheng","10.1186/s13059-023-03047-z","","No","21","Batch effects are notoriously common technical variations in multiomics data and may result in misleading outcomes if uncorrected or over-corrected. A plethora of batch-effect correction algorithms are proposed to facilitate data integration. However, their respective advantages and limitations are not adequately assessed in terms of omics types, the performance metrics, and the application scenarios.As part of the Quartet Project for quality control and data integration of multiomics profiling, we comprehensively assess the performance of seven batch effect correction algorithms based on different performance metrics of clinical relevance, i.e., the accuracy of identifying differentially expressed features, the robustness of predictive models, and the ability of accurately clustering cross-batch samples into their own donors. The ratio-based method, i.e., by scaling absolute feature values of study samples relative to those of concurrently profiled reference material(s), is found to be much more effective and broadly applicable than others, especially when batch effects are completely confounded with biological factors of study interests. We further provide practical guidelines for implementing the ratio based approach in increasingly large-scale multiomics studies.Multiomics measurements are prone to batch effects, which can be effectively corrected using ratio-based scaling of the multiomics data. Our study lays the foundation for eliminating batch effects at a ratio scale.","Multiomics measurements are prone to batch effects, which can be effectively corrected using ratio-based scaling of the multiomics data, and this study lays the foundation for eliminating batch effects at a ratio scale."
"Concordance-Based Batch Effect Correction for Large-Scale Metabolomics.","https://scispace.com/papers/concordance-based-batch-effect-correction-for-large-scale-8c7ji3o0","2023","Journal Article","Analytical Chemistry","Fanjing Guo
Liheng Dong
Kian Kai Cheng
Lingli Deng
Xiangang Xu
Daniel Raftery
Jiyang Dong","10.1021/acs.analchem.2c05748","","No","","For a large-scale metabolomics study, sample collection, preparation, and analysis may last several days, months, or even (intermittently) over years. This may lead to apparent batch effects in the acquired metabolomics data due to variability in instrument status, environmental conditions, or experimental operators. Batch effects may confound the true biological relationships among metabolites and thus obscure real metabolic changes. At present, most of the commonly used batch effect correction (BEC) methods are based on quality control (QC) samples, which require sufficient and stable QC samples. However, the quality of the QC samples may deteriorate if the experiment lasts for a long time. Alternatively, isotope-labeled internal standards have been used, but they generally do not provide good coverage of the metabolome. On the other hand, BEC can also be conducted through a data-driven method, in which no QC sample is needed. Here, we propose a novel data-driven BEC method, namely, CordBat, to achieve concordance between each batch of samples. In the proposed CordBat method, a reference batch is first selected from all batches of data, and the remaining batches are referred to as ""other batches."" The reference batch serves as the baseline for the batch adjustment by providing a coordinate of correlation between metabolites. Next, a Gaussian graphical model is built on the combined dataset of reference and other batches, and finally, BEC is achieved by optimizing the correction coefficients in the other batches so that the correlation between metabolites of each batch and their combinations are in concordance with that of the reference batch. Three real-world metabolomics datasets are used to evaluate the performance of CordBat by comparing it with five commonly used BEC methods. The present experimental results showed the effectiveness of CordBat in batch effect removal and the concordance of correlation between metabolites after BEC. CordBat was found to be comparable to the QC-based methods and achieved better performance in the preservation of biological effects. The proposed CordBat method may serve as an alternative BEC method for large-scale metabolomics that lack proper QC samples.","CordBat as discussed by the authors is a data-driven batch effect correction method for large-scale metabolomics that lacks proper quality control (QC) samples, which may lead to apparent batch effects due to variability in instrument status, environmental conditions, or experimental operators."
