"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Abstract","TL;DR"
"metabolomicsR: a streamlined workflow to analyze metabolomic data in R","https://scispace.com/papers/metabolomicsr-a-streamlined-workflow-to-analyze-metabolomic-3oy1vouo","2022","Journal Article","Bioinformatics advances","Xikun Han
Liming Liang","10.1093/bioadv/vbac067","https://scispace.com/pdf/metabolomicsr-a-streamlined-workflow-to-analyze-metabolomic-3oy1vouo.pdf","Yes","","Abstract Summary metabolomicsR is a streamlined, flexible and user-friendly R package to preprocess, analyze and visualize metabolomic data. metabolomicsR includes comprehensive functionalities for sample and metabolite quality control, outlier detection, missing value imputation, dimensional reduction, batch effect normalization, data integration, regression, metabolite annotation and visualization of data and results. In this application note, we demonstrate the step-by-step use of the main functions from this package. Availability and implementation The metabolomicsR package is available via CRAN and GitHub (https://github.com/XikunHan/metabolomicsR/). A step-by-step online tutorial is available at https://xikunhan.github.io/metabolomicsR/docs/articles/Introduction.html. Supplementary information Supplementary data are available at Bioinformatics Advances online.","A streamlined, flexible and user-friendly R package to preprocess, analyze and visualize metabolomic data that includes comprehensive functionalities for sample and metabolite quality control, outlier detection, missing value imputation, dimensional reduction, batch effect normalization, data integration, regression, metabolite annotation and visualization of data and results."
"Pretreating and normalizing metabolomics data for statistical analysis","https://scispace.com/papers/pretreating-and-normalizing-metabolomics-data-for-5m65h3dj","2023","Journal Article","Genes and Diseases","Jun Sun
Yinglin Xia","10.1016/j.gendis.2023.04.018","","Yes","24","Metabolomics, as a research field and a set of techniques, is to study the entire small molecules in biological samples. Metabolomics is emerging as a powerful tool generally for precision medicine. Particularly, the integration of microbiome and metabolome has revealed the mechanism and functionality of microbiome in human health and disease. However, metabolomics data are very complicated. Preprocessing/pretreating and normalizing procedures on metabolomics data are usually required before statistical analysis. In this review article, we comprehensively review various methods that are used to preprocess and pretreat metabolomics data, including mass spectrometry-based and nuclear magnetic resonance-based data preprocessing, dealing with zero and/or missing values and detecting outliers, data normalization, data centering and scaling, data transformation. We discuss the advantages and limitations of each method. The choice of a suitable preprocessing method is determined by the biological hypothesis, the characteristics of the data set, and the selected statistical data analysis method. We then provide the perspective of their applications in microbiome and metabolome research.","In this article , the authors comprehensively review various methods that are used to preprocess and pretreat metabolomics data, including mass spectrometry-based and nuclear magnetic resonance-based data preprocessing, dealing with zero and/or missing values and detecting outliers, data normalization, data centering and scaling, data transformation."
"A Python-Based Pipeline for Preprocessing LC-MS Data for Untargeted Metabolomics Workflows.","https://scispace.com/papers/a-python-based-pipeline-for-preprocessing-lc-ms-data-for-cyyhbhbs6v","2020","Journal Article","Metabolites","Gabriel Riquelme
Nicolás Zabalegui
Nicolás Zabalegui
Pablo Marchi
Christina M. Jones
María Eugenia Monge","10.3390/METABO10100416","","Yes","37","Preprocessing data in a reproducible and robust way is one of the current challenges in untargeted metabolomics workflows. Data curation in liquid chromatography–mass spectrometry (LC–MS) involves the removal of biologically non-relevant features (retention time, m/z pairs) to retain only high-quality data for subsequent analysis and interpretation. The present work introduces TidyMS, a package for the Python programming language for preprocessing LC–MS data for quality control (QC) procedures in untargeted metabolomics workflows. It is a versatile strategy that can be customized or fit for purpose according to the specific metabolomics application. It allows performing quality control procedures to ensure accuracy and reliability in LC–MS measurements, and it allows preprocessing metabolomics data to obtain cleaned matrices for subsequent statistical analysis. The capabilities of the package are shown with pipelines for an LC–MS system suitability check, system conditioning, signal drift evaluation, and data curation. These applications were implemented to preprocess data corresponding to a new suite of candidate plasma reference materials developed by the National Institute of Standards and Technology (NIST; hypertriglyceridemic, diabetic, and African-American plasma pools) to be used in untargeted metabolomics studies in addition to NIST SRM 1950 Metabolites in Frozen Human Plasma. The package offers a rapid and reproducible workflow that can be used in an automated or semi-automated fashion, and it is an open and free tool available to all users.","The present work introduces TidyMS, a package for the Python programming language for preprocessing LC–MS data for quality control (QC) procedures in untargeted metabolomics workflows, a versatile strategy that can be customized or fit for purpose according to the specific metabolomics application."
"Weighted Scaling Approach for Metabolomics Data Analysis","https://scispace.com/papers/weighted-scaling-approach-for-metabolomics-data-analysis-w4mdpxkh","2022","Journal Article","Japanese Journal of Statistics and Data Science","Biplab Biswas
Nishith Kumar
Md. Aminul Hoque
Md. Ashad Alam","10.48550/arXiv.2208.00603","","No","","Systematic variation is a common issue in metabolomics data analysis. Therefore, different scaling and normalization techniques are used to preprocess the data for metabolomics data analysis. Although several scaling methods are available in the literature, however, choice of scaling, transformation and/or normalization technique influence the further statistical analysis. It is challenging to choose the appropriate scaling technique for downstream analysis to get accurate results or to make a proper decision. Moreover, the existing scaling techniques are sensitive to outliers or extreme values. To fill the gap, our objective is to introduce a robust scaling approach that is not influenced by outliers as well as provides more accurate results for downstream analysis. Here, we introduced a new weighted scaling approach that is robust against outliers however, where no additional outlier detection/treatment step is needed in data preprocessing and also compared it with the conventional scaling and normalization techniques through artificial and real metabolomics datasets. We evaluated the performance of the proposed method in comparison to the other existing conventional scaling techniques using metabolomics data analysis in both the absence and presence of different percentages of outliers. Results show that in most cases, the proposed scaling technique performs better than the traditional scaling methods in both the absence and presence of outliers. The proposed method improves the further downstream metabolomics analysis. The R function of the proposed robust scaling method is available at https://github.com/nishithkumarpaul/robustScaling/blob/main/wscaling.R","This work introduced a new weighted scaling approach that is robust against outliers however, where no additional outlier detection/treatment step is needed in data preprocessing and also compared it with the conventional scaling and normalization techniques through artificial and real metabolomics datasets."
"Weighted Scaling Approach for Metabolomics Data Analysis","https://scispace.com/papers/weighted-scaling-approach-for-metabolomics-data-analysis-xx7za4w1","2022","Posted Content","","","10.48550/arxiv.2208.00603","http://arxiv.org/pdf/2208.00603","Yes","","Systematic variation is a common issue in metabolomics data analysis. Therefore, different scaling and normalization techniques are used to preprocess the data for metabolomics data analysis. Although several scaling methods are available in the literature, however, choice of scaling, transformation and/or normalization technique influence the further statistical analysis. It is challenging to choose the appropriate scaling technique for downstream analysis to get accurate results or to make a proper decision. Moreover, the existing scaling techniques are sensitive to outliers or extreme values. To fill the gap, our objective is to introduce a robust scaling approach that is not influenced by outliers as well as provides more accurate results for downstream analysis. Here, we introduced a new weighted scaling approach that is robust against outliers however, where no additional outlier detection/treatment step is needed in data preprocessing and also compared it with the conventional scaling and normalization techniques through artificial and real metabolomics datasets. We evaluated the performance of the proposed method in comparison to the other existing conventional scaling techniques using metabolomics data analysis in both the absence and presence of different percentages of outliers. Results show that in most cases, the proposed scaling technique performs better than the traditional scaling methods in both the absence and presence of outliers. The proposed method improves the further downstream metabolomics analysis. The R function of the proposed robust scaling method is available at https://github.com/nishithkumarpaul/robustScaling/blob/main/wscaling.R","In this paper , the authors proposed a robust scaling approach that is not influenced by outliers as well as provides more accurate results for downstream analysis, where no additional outlier detection/treatment step is needed in data preprocessing."
"NMF-Based Approach for Missing Values Imputation of Mass Spectrometry Metabolomics Data","https://scispace.com/papers/nmf-based-approach-for-missing-values-imputation-of-mass-3ahxixiqjd","2021","Journal Article","Molecules","Jingjing Xu
Wang Yuanshan
Xiangnan Xu
Kian Kai Cheng
Daniel Raftery
Jiyang Dong","10.3390/MOLECULES26195787","","Yes","","In mass spectrometry (MS)-based metabolomics, missing values (NAs) may be due to different causes, including sample heterogeneity, ion suppression, spectral overlap, inappropriate data processing, and instrumental errors. Although a number of methodologies have been applied to handle NAs, NA imputation remains a challenging problem. Here, we propose a non-negative matrix factorization (NMF)-based method for NA imputation in MS-based metabolomics data, which makes use of both global and local information of the data. The proposed method was compared with three commonly used methods: k-nearest neighbors (kNN), random forest (RF), and outlier-robust (ORI) missing values imputation. These methods were evaluated from the perspectives of accuracy of imputation, retrieval of data structures, and rank of imputation superiority. The experimental results showed that the NMF-based method is well-adapted to various cases of data missingness and the presence of outliers in MS-based metabolic profiles. It outperformed kNN and ORI and showed results comparable with the RF method. Furthermore, the NMF method is more robust and less susceptible to outliers as compared with the RF method. The proposed NMF-based scheme may serve as an alternative NA imputation method which may facilitate biological interpretations of metabolomics data.","In this paper, a non-negative matrix factorization (NMF)-based method for missing values (NAs) in MS-based metabolomics data, which makes use of both global and local information of the data, was proposed."
"MetaboLink: A web application for Streamlined Processing and Analysis of Large-Scale Untargeted Metabolomics Data","https://scispace.com/papers/metabolink-a-web-application-for-streamlined-processing-and-4nnv4wkmia","2024","Journal Article","Bioinformatics","G. Jesus
Jesper F. Havelund
Jonas Lemvig
Veit Schwämmle
Nils J. Færgeman","10.1093/bioinformatics/btae459","","No","","The post-processing and analysis of large-scale untargeted metabolomics data face significant challenges due to the intricate nature of correction, filtration, imputation, and normalization steps. Manual execution across various applications often leads to inefficiencies, human-induced errors, and inconsistencies within the workflow.","MetaboLink, a novel web application designed to process LC-MS metabolomics datasets combining established methodologies and offering flexibility and ease of implementation, is introduced."
"QComics: Recommendations and Guidelines for Robust, Easily Implementable and Reportable Quality Control of Metabolomics Data.","https://scispace.com/papers/qcomics-recommendations-and-guidelines-for-robust-easily-q771w8v1v5","2024","Journal Article","Analytical Chemistry","Alvaro González-Dominguez
Núria Estanyol-Torres
Carl Brunius
Rikard Landberg
Raúl González-Domínguez","10.1021/acs.analchem.3c03660","","No","","The implementation of quality control strategies is crucial to ensure the reproducibility, accuracy, and meaningfulness of metabolomics data. However, this pivotal step is often overlooked within the metabolomics workflow and frequently relies on the use of nonstandardized and poorly reported protocols. To address current limitations in this respect, we have developed QComics, a robust, easily implementable and reportable method for monitoring and controlling data quality. The protocol operates in various sequential steps aimed to (i) correct for background noise and carryover, (ii) detect signal drifts and ""out-of-control"" observations, (iii) deal with missing data, (iv) remove outliers, (v) monitor quality markers to identify samples affected by improper collection, preprocessing, or storage, and (vi) assess overall data quality in terms of precision and accuracy. Notably, this tool considers important issues often neglected along quality control, such as the need of separately handling missing values and truly absent data to avoid losing relevant biological information, as well as the large impact that preanalytical factors may elicit on metabolomics results. Altogether, the guidelines compiled in QComics might contribute to establishing gold standard recommendations and best practices for quality control within the metabolomics community.","QComics provides robust, easily implementable and reportable guidelines for quality control of metabolomics data, ensuring reproducibility, accuracy and meaningfulness."
"Missing data imputation using a truncated infinite factor model with
  application to metabolomics data","https://scispace.com/papers/missing-data-imputation-using-a-truncated-infinite-factor-5zbgn0b8dktm","2024","Journal Article","","Kate Finucane
Lorraine Brennan
Isobel Claire Gormley","10.48550/arxiv.2410.10633","https://scispace.compdf/missing-data-imputation-using-a-truncated-infinite-factor-5zbgn0b8dktm.pdf","No","","In metabolomics, the study of small molecules in biological samples, data are often acquired through mass spectrometry. The resulting data contain highly correlated variables, typically with a larger number of variables than observations. Missing data are prevalent, and imputation is critical as data acquisition can be difficult and expensive, and many analysis methods necessitate complete data. In such data, missing at random (MAR) missingness occurs due to acquisition or processing error, while missing not at random (MNAR) missingness occurs when true values lie below the threshold for detection. Existing imputation methods generally assume one missingness type, or impute values outside the physical constraints of the data, which lack utility. A truncated factor analysis model with an infinite number of factors (tIFA) is proposed to facilitate imputation in metabolomics data, in a statistically and physically principled manner. Truncated distributional assumptions underpin tIFA, ensuring cognisance of the data's physical constraints when imputing. Further, tIFA allows for both MAR and MNAR missingness, and a Bayesian inferential approach provides uncertainty quantification for imputed values and missingness types. The infinite factor model parsimoniously models the high-dimensional, multicollinear data, with nonparametric shrinkage priors obviating the need for model selection tools to infer the number of latent factors. A simulation study is performed to assess the performance of tIFA and an application to a urinary metabolomics dataset results in a full dataset with practically useful imputed values, and associated uncertainty, ready for use in metabolomics analyses. Open-source R code accompanies tIFA, facilitating its widespread use.","A truncated infinite factor model (tIFA) is proposed for missing data imputation in metabolomics, accounting for both MAR and MNAR missingness, and physical constraints, with a Bayesian approach and nonparametric shrinkage priors for uncertainty quantification and model parsimony."
"imputomics: web server and R package for missing values imputation in metabolomics data.","https://scispace.com/papers/imputomics-web-server-and-r-package-for-missing-values-2byj5rkp20","2024","Journal Article","Bioinformatics","Jarosław Chilimoniuk
Krystyna Grzesiak
Jakub Kała
Dominik Nowakowski
Adam Kre Towski
Rafał Kolenda
Michał Ciborowski
Michał Burdukiewicz","10.1093/bioinformatics/btae098","","No","","MOTIVATION Missing values are commonly observed in metabolomics data from mass spectrometry (MS). Imputing them is crucial because it assures data completeness, increases the statistical power of analyses, prevents inaccurate results, and improves the quality of exploratory analysis, statistical modeling, and machine learning. Numerous Missing Value Imputation Algorithms (MVIAs) employ heuristics or statistical models to replace missing information with estimates. In the context of metabolomics data, we identified 52 MVIAs implemented across 70 R functions. Nevertheless, the usage of those 52 established methods poses challenges due to package dependency issues, lack of documentation and their instability. RESULTS Our R package, imputomics, provides a convenient wrapper around 41 (plus random imputation as a baseline model) out of 52 MVIAs in the form of a command-line tool and a web application. In addition, we propose a novel functionality for selecting MVIAs recommended for metabolomics data with the best performance or execution time. AVAILABILITY imputomics is freely available as an R package (github.com/BioGenies/imputomics) and a Shiny web application (biogenies.info/imputomics-ws). The documentation is available at biogenies.info/imputomics. SUPPLEMENTARY INFORMATION Supplementary data are available at Bioinformatics online.","The R package, imputomics, provides a convenient wrapper around 41 (plus random imputation as a baseline model) out of 52 MVIAs out of 52 MVIAs in the form of a command-line tool and a web application and proposes a novel functionality for selecting MVIAs recommended for metabolomics data with the best performance or execution time."
